Designator,Mid X,Mid Y,Layer,Rotation
C1,74.075mm,99.65mm,180.0,Top
D1,75.825mm,45.625mm,90.0,Top
F1,124.075mm,29.225mm,90.0,Top
F2,126.975mm,29.225mm,90.0,Top
J1,81.45mm,102.3mm,0.0,Top
P1,14.498mm,77.482mm,0.0,Top
R1,78.875mm,45.7mm,0.0,Top
R2,46.325mm,28.07mm,90.0,Top
R3,41.8mm,28.005mm,90.0,Top
R4,54.6mm,28.2mm,90.0,Top
R5,72.6mm,45.65mm,0.0,Top
R6,57.5mm,40.45mm,-90.0,Top
R7,56.1mm,40.45mm,-90.0,Top
R8,48.35mm,28.05mm,90.0,Top
R9,51.6mm,28.05mm,90.0,Top
S1,64.875mm,103.9mm,-90.0,Top
S2,71.625mm,103.9mm,90.0,Top
V9,74.4mm,32.375mm,0.0,Top
V10,71.75mm,32.375mm,0.0,Top
V11,69.1mm,32.375mm,0.0,Top
V12,69.375mm,28.025mm,0.0,Top
V13,66.575mm,28.025mm,0.0,Top
V14,63.85mm,28.025mm,0.0,Top
V17,57.175mm,28.3mm,0.0,Top
V20,51.35mm,32.65mm,0.0,Top
V28,77.05mm,32.375mm,0.0,Top
V40,48.65mm,32.65mm,0.0,Top
V41,43.2mm,32.65mm,0.0,Top
V43,38.15mm,32.65mm,0.0,Top
V44,79.7mm,32.375mm,0.0,Top
V45,81.65mm,27.975mm,0.0,Top
V46,78.95mm,27.975mm,0.0,Top
V48,75.375mm,28.0mm,0.0,Top
V49,72.625mm,27.975mm,0.0,Top
V51,66.35mm,32.375mm,0.0,Top
V52,63.7mm,32.375mm,0.0,Top
V56,56.0mm,32.6mm,0.0,Top
V61,40.675mm,32.65mm,0.0,Top
V63,86.85mm,27.975mm,0.0,Top
V64,84.3mm,27.975mm,0.0,Top
V66,82.375mm,32.375mm,0.0,Top
V67,89.575mm,27.975mm,0.0,Top
V68,85.05mm,32.35mm,0.0,Top
V69,92.325mm,27.975mm,0.0,Top
V70,87.7mm,32.35mm,0.0,Top
V71,95.075mm,27.975mm,0.0,Top
V74,45.925mm,32.65mm,0.0,Top
V80,35.625mm,32.65mm,0.0,Top
VIN1,44.45mm,41.55mm,0.0,Top
VIN2,53.5mm,41.525mm,0.0,Top
VIN3,50.675mm,41.525mm,0.0,Top
VIN4,47.85mm,41.525mm,0.0,Top
VOUT1,90.5mm,40.3mm,0.0,Top
VOUT2,102.9mm,40.325mm,0.0,Top
VOUT3,105.75mm,40.325mm,0.0,Top
R430,41.487502mm,101.806663mm,Top,180
C431,49.137502mm,98.356663mm,Top,360
C430,45.437502mm,98.356663mm,Top,180
U430,46.757502mm,101.606663mm,Top,90
D430,41.487502mm,99.386663mm,Top,90
C422,105.4mm,96.6mm,Top,90
C425,109.25mm,96.925mm,Top,90
C423,106.9mm,93.725mm,Top,360
C424,107.1mm,96.925mm,Top,90
C420,124.6mm,95.075mm,Top,90
R422,126.2063mm,96.625mm,Top,90
R421,109.65mm,93.5mm,Top,270
R420,126.2mm,94.075mm,Top,90
D421,123.3251mm,98.0mm,Top,360
C421,119.8mm,94.525mm,Top,90
L421,114.6mm,95.375mm,Top,180
U420,122.075mm,95.275mm,Top,270
D420,89.525mm,95.35mm,Top,90
C426,93.9mm,93.45mm,Top,360
C427,94.95mm,96.725mm,Top,90
C428,92.75mm,96.725mm,Top,90
L420,100.375mm,95.375mm,Top,180
U101,81.862499mm,71.871377mm,Top,270
R130,45.552499mm,90.441177mm,Top,90
R129,41.587499mm,92.921377mm,Top,90
Y101,48.512499mm,85.821377mm,Top,270
C116,47.987499mm,83.996377mm,Top,180
C115,48.987499mm,88.396377mm,Top,270
C124,48.287499mm,72.746377mm,Top,360
R121,49.012499mm,74.946377mm,Top,90
R106,83.562499mm,91.771377mm,Top,270
C129,65.712499mm,65.946377mm,Top,360
C128,61.737499mm,65.921377mm,Top,360
C125,77.437499mm,68.946377mm,Top,360
C121,78.237499mm,77.121377mm,Top,90
C118,78.212499mm,82.446377mm,Top,90
C110,66.187499mm,94.996377mm,Top,180
C109,61.837499mm,94.996377mm,Top,180
C108,55.312499mm,95.021377mm,Top,360
C117,48.012499mm,82.896377mm,Top,360
U107,61.512499mm,62.271377mm,Top,90
U109,50.262499mm,62.271377mm,Top,90
R115,69.287499mm,64.846377mm,Top,270
R118,55.812499mm,61.196377mm,Top,0
R126,55.612499mm,64.046377mm,Top,180
R111,66.837499mm,61.321377mm,Top,270
C123,66.462499mm,64.821377mm,Top,180
C135,53.537499mm,66.021377mm,Top,180
R105,84.737499mm,93.946377mm,Top,270
R104,84.737499mm,91.371377mm,Top,90
R103,83.762499mm,89.496377mm,Top,360
R114,48.287499mm,71.596377mm,Top,180
U111,50.037499mm,66.516377mm,Top,90
U108,43.087499mm,82.421377mm,Top,90
U106,43.137499mm,62.271377mm,Top,90
U104,43.212499mm,70.996377mm,Top,90
R117,41.562499mm,86.371377mm,Top,0
R125,76.487499mm,66.221377mm,Top,0
R113,45.462499mm,86.371377mm,Top,0
R112,41.662499mm,66.421377mm,Top,0
R110,46.412499mm,66.421377mm,Top,0
R109,41.537499mm,74.896377mm,Top,0
R108,45.412499mm,74.896377mm,Top,0
R107,80.512499mm,66.146377mm,Top,0
C126,40.587499mm,78.146377mm,Top,90
C120,44.037499mm,66.471377mm,Top,270
C112,47.487499mm,69.621377mm,Top,90
C104,79.387499mm,76.571377mm,Top,90
C137,48.712499mm,69.646377mm,Top,90
D101,81.562499mm,90.321377mm,Top,90
C101,80.212499mm,83.146377mm,Top,180
R102,82.437499mm,94.121377mm,Top,90
R101,83.412499mm,61.946377mm,Top,0
D102,79.037499mm,85.821377mm,Top,90
Y102,45.787499mm,78.046377mm,Top,360
U103,78.957499mm,93.921377mm,Top,180
R124,83.937499mm,77.071377mm,Top,180
R120,78.237499mm,79.796377mm,Top,90
R119,83.462499mm,78.471377mm,Top,180
R122,68.837499mm,95.046377mm,Top,360
R123,75.412499mm,94.221377mm,Top,90
R116,80.362499mm,78.521377mm,Top,180
R127,76.612499mm,92.996377mm,Top,90
R128,59.112499mm,65.971377mm,Top,180
L101,83.212499mm,65.846377mm,Top,270
D106,84.537499mm,80.571377mm,Top,90
D105,79.857499mm,80.746377mm,Top,90
D107,51.612499mm,94.996377mm,Top,360
D104,82.937499mm,80.571377mm,Top,90
D103,81.362499mm,80.596377mm,Top,90
C140,50.687499mm,93.471377mm,Top,360
C132,47.537499mm,80.996377mm,Top,270
C136,42.387499mm,78.171377mm,Top,270
C127,72.487499mm,65.871377mm,Top,180
C139,80.162499mm,62.046377mm,Top,270
C138,79.037499mm,62.046377mm,Top,270
C111,72.952499mm,94.991377mm,Top,180
C130,56.462499mm,66.021377mm,Top,180
C131,70.287499mm,61.671377mm,Top,90
C122,47.787499mm,74.921377mm,Top,270
C114,79.287499mm,89.521377mm,Top,90
C119,48.687499mm,80.996377mm,Top,270
C103,81.287499mm,76.721377mm,Top,360
C113,78.137499mm,89.721377mm,Top,270
C102,84.787499mm,65.671377mm,Top,90
C106,78.912499mm,91.671377mm,Top,180
C105,81.287499mm,93.921377mm,Top,270
C107,79.612499mm,64.071377mm,Top,180
U105,63.612499mm,80.521377mm,Top,270
U102,74.712499mm,62.271377mm,Top,90
C226,69.412499mm,45.896377mm,Top,270
R211,67.112499mm,45.971377mm,Top,0
R205,66.987499mm,49.496377mm,Top,0
D205,67.262499mm,52.471377mm,Top,0
C223,69.437499mm,56.421377mm,Top,270
C222,68.337499mm,56.421377mm,Top,270
C221,67.237499mm,56.421377mm,Top,270
C220,66.137499mm,56.421377mm,Top,270
C228,42.687499mm,44.546377mm,Top,180
R216,64.787499mm,46.046377mm,Top,90
C224,69.412499mm,49.296377mm,Top,90
D206,41.512499mm,54.771377mm,Top,270
C225,40.812499mm,48.421377mm,Top,180
C219,51.837499mm,56.421377mm,Top,270
C218,50.737499mm,56.421377mm,Top,270
C217,49.637499mm,56.421377mm,Top,270
C216,48.537499mm,56.421377mm,Top,270
C215,47.437499mm,56.421377mm,Top,270
C214,46.337499mm,56.421377mm,Top,270
C213,45.237499mm,56.421377mm,Top,270
C212,44.137499mm,56.421377mm,Top,270
C211,56.237499mm,56.421377mm,Top,270
C210,55.137499mm,56.421377mm,Top,270
C209,54.037499mm,56.421377mm,Top,270
C208,52.937499mm,56.421377mm,Top,270
C203,65.037499mm,56.421377mm,Top,270
C202,63.937499mm,56.421377mm,Top,270
C201,62.837499mm,56.421377mm,Top,270
C229,43.162499mm,49.996377mm,Top,90
C227,43.962499mm,46.896377mm,Top,270
R215,41.012499mm,50.721377mm,Top,360
R213,41.012499mm,49.546377mm,Top,180
R214,40.762499mm,46.121377mm,Top,360
R212,40.762499mm,47.271377mm,Top,0
C200,61.737499mm,56.421377mm,Top,270
C204,57.337499mm,56.421377mm,Top,270
C205,58.437499mm,56.421377mm,Top,270
C206,59.537499mm,56.421377mm,Top,270
C207,60.637499mm,56.421377mm,Top,270
D200,62.962499mm,52.471377mm,Top,0
D201,58.662499mm,52.471377mm,Top,0
D202,54.362499mm,52.471377mm,Top,0
D203,45.762499mm,52.471377mm,Top,0
D204,50.062499mm,52.471377mm,Top,0
R200,62.562499mm,49.471377mm,Top,0
R201,58.687499mm,49.471377mm,Top,0
R202,54.437499mm,49.471377mm,Top,0
R203,46.512499mm,49.471377mm,Top,0
R204,50.562499mm,49.471377mm,Top,0
R206,62.487499mm,45.971377mm,Top,0
R207,58.687499mm,45.971377mm,Top,0
R208,54.412499mm,45.971377mm,Top,0
R209,46.887499mm,45.971377mm,Top,0
R210,50.587499mm,45.971377mm,Top,0
U471,34.439073mm,57.338535mm,Top,180
R474,30.714073mm,58.938535mm,Top,180
R473,28.164073mm,59.138535mm,Top,180
R472,28.339073mm,57.288535mm,Top,270
C474,29.464073mm,56.938535mm,Top,90
C473,31.964073mm,57.413535mm,Top,90
C472,30.614073mm,56.938535mm,Top,270
U470,23.424073mm,57.463535mm,Top,180
R471,20.889073mm,57.288535mm,Top,90
R470,25.939073mm,57.288535mm,Top,90
C471,19.339073mm,57.138535mm,Top,90
C470,27.189073mm,57.013535mm,Top,270
R314,114.475001mm,46.6125mm,Top,90
R313,114.175001mm,51.5125mm,Top,90
Q313,112.480001mm,54.4625mm,Top,0
F300,111.575001mm,48.5625mm,Top,180
D304,111.820001mm,51.1375mm,Top,180
C303,107.825001mm,78.7025mm,Top,180
R309,122.200001mm,77.9525mm,Top,270
R310,120.000001mm,77.0025mm,Top,180
R311,122.200001mm,75.4025mm,Top,90
R312,120.000001mm,75.7525mm,Top,180
R306,96.875001mm,76.6775mm,Top,90
C302,120.025001mm,74.2025mm,Top,360
C300,120.000001mm,78.4275mm,Top,180
U303,119.125101mm,46.8525mm,Top,270
U300,118.675101mm,52.4025mm,Top,270
U305,114.775001mm,76.1775mm,Top,270
U304,100.900001mm,82.9025mm,Top,180
U302,119.450001mm,82.9525mm,Top,0
U301,111.425001mm,82.9525mm,Top,180
R302,99.700001mm,55.5275mm,Top,360
Q303,99.400001mm,53.1575mm,Top,90
D300,104.100001mm,53.6275mm,Top,270
R308,109.675001mm,75.3025mm,Top,270
R307,122.725001mm,80.7025mm,Top,90
R305,102.200001mm,64.8275mm,Top,90
R304,116.350001mm,64.7275mm,Top,90
R303,108.700001mm,52.0025mm,Top,180
R301,107.700001mm,45.3775mm,Top,180
R300,107.725001mm,46.8025mm,Top,180
Q310,98.675001mm,60.4525mm,Top,270
Q309,105.725001mm,60.4525mm,Top,270
Q308,98.875001mm,69.0525mm,Top,90
Q307,105.825001mm,69.0525mm,Top,90
Q306,119.725001mm,69.0525mm,Top,90
Q305,119.725001mm,60.4525mm,Top,270
Q311,112.775001mm,60.4525mm,Top,270
Q312,112.775001mm,69.0525mm,Top,90
Q304,108.725001mm,54.3725mm,Top,270
Q302,104.600001mm,46.0575mm,Top,90
Q301,101.150001mm,46.0575mm,Top,90
Q300,97.600001mm,46.0575mm,Top,90
D301,102.025001mm,53.6275mm,Top,270
D302,96.650001mm,53.5275mm,Top,270
D303,106.100001mm,53.6275mm,Top,270
