Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
C1,74.075000mm,99.650000mm,180.0,Top,74.075000mm,99.650000mm
D1,75.825000mm,45.625000mm,90.0,Top,75.825000mm,45.625000mm
F1,124.075000mm,29.225000mm,90.0,Top,124.075000mm,29.225000mm
F2,126.975000mm,29.225000mm,90.0,Top,126.975000mm,29.225000mm
J1,81.450000mm,102.300000mm,0.0,Top,81.450000mm,102.300000mm
M1,39.537502mm,97.256663mm,0.0,Top,39.537502mm,97.256663mm
M2,87.475000mm,91.650000mm,0.0,Top,87.475000mm,91.650000mm
M3,39.212499mm,58.971377mm,0.0,Top,39.212499mm,58.971377mm
M4,39.312499mm,43.646377mm,0.0,Top,39.312499mm,43.646377mm
M5,18.589073mm,55.613535mm,0.0,Top,18.589073mm,55.613535mm
M6,95.075001mm,44.012500mm,0.0,Top,95.075001mm,44.012500mm
M7,26.742387mm,83.539204mm,0.0,Top,26.742387mm,83.539204mm
M8,75.058985mm,42.712109mm,0.0,Top,75.058985mm,42.712109mm
P1,14.498000mm,77.482000mm,0.0,Top,14.498000mm,77.482000mm
R1,78.875000mm,45.700000mm,0.0,Top,78.875000mm,45.700000mm
R2,46.325000mm,28.070000mm,90.0,Top,46.325000mm,28.070000mm
R3,41.800000mm,28.005000mm,90.0,Top,41.800000mm,28.005000mm
R4,54.600000mm,28.200000mm,90.0,Top,54.600000mm,28.200000mm
R5,72.600000mm,45.650000mm,0.0,Top,72.600000mm,45.650000mm
R6,57.500000mm,40.450000mm,-90.0,Top,57.500000mm,40.450000mm
R7,56.100000mm,40.450000mm,-90.0,Top,56.100000mm,40.450000mm
R8,48.350000mm,28.050000mm,90.0,Top,48.350000mm,28.050000mm
R9,51.600000mm,28.050000mm,90.0,Top,51.600000mm,28.050000mm
S1,64.875000mm,103.900000mm,-90.0,Top,64.875000mm,103.900000mm
S2,71.625000mm,103.900000mm,90.0,Top,71.625000mm,103.900000mm
V9,74.400000mm,32.375000mm,0.0,Top,74.400000mm,32.375000mm
V10,71.750000mm,32.375000mm,0.0,Top,71.750000mm,32.375000mm
V11,69.100000mm,32.375000mm,0.0,Top,69.100000mm,32.375000mm
V12,69.375000mm,28.025000mm,0.0,Top,69.375000mm,28.025000mm
V13,66.575000mm,28.025000mm,0.0,Top,66.575000mm,28.025000mm
V14,63.850000mm,28.025000mm,0.0,Top,63.850000mm,28.025000mm
V17,57.175000mm,28.300000mm,0.0,Top,57.175000mm,28.300000mm
V20,51.350000mm,32.650000mm,0.0,Top,51.350000mm,32.650000mm
V28,77.050000mm,32.375000mm,0.0,Top,77.050000mm,32.375000mm
V40,48.650000mm,32.650000mm,0.0,Top,48.650000mm,32.650000mm
V41,43.200000mm,32.650000mm,0.0,Top,43.200000mm,32.650000mm
V43,38.150000mm,32.650000mm,0.0,Top,38.150000mm,32.650000mm
V44,79.700000mm,32.375000mm,0.0,Top,79.700000mm,32.375000mm
V45,81.650000mm,27.975000mm,0.0,Top,81.650000mm,27.975000mm
V46,78.950000mm,27.975000mm,0.0,Top,78.950000mm,27.975000mm
V48,75.375000mm,28.000000mm,0.0,Top,75.375000mm,28.000000mm
V49,72.625000mm,27.975000mm,0.0,Top,72.625000mm,27.975000mm
V51,66.350000mm,32.375000mm,0.0,Top,66.350000mm,32.375000mm
V52,63.700000mm,32.375000mm,0.0,Top,63.700000mm,32.375000mm
V56,56.000000mm,32.600000mm,0.0,Top,56.000000mm,32.600000mm
V61,40.675000mm,32.650000mm,0.0,Top,40.675000mm,32.650000mm
V63,86.850000mm,27.975000mm,0.0,Top,86.850000mm,27.975000mm
V64,84.300000mm,27.975000mm,0.0,Top,84.300000mm,27.975000mm
V66,82.375000mm,32.375000mm,0.0,Top,82.375000mm,32.375000mm
V67,89.575000mm,27.975000mm,0.0,Top,89.575000mm,27.975000mm
V68,85.050000mm,32.350000mm,0.0,Top,85.050000mm,32.350000mm
V69,92.325000mm,27.975000mm,0.0,Top,92.325000mm,27.975000mm
V70,87.700000mm,32.350000mm,0.0,Top,87.700000mm,32.350000mm
V71,95.075000mm,27.975000mm,0.0,Top,95.075000mm,27.975000mm
V74,45.925000mm,32.650000mm,0.0,Top,45.925000mm,32.650000mm
V80,35.625000mm,32.650000mm,0.0,Top,35.625000mm,32.650000mm
VIN1,44.450000mm,41.550000mm,0.0,Top,44.450000mm,41.550000mm
VIN2,53.500000mm,41.525000mm,0.0,Top,53.500000mm,41.525000mm
VIN3,50.675000mm,41.525000mm,0.0,Top,50.675000mm,41.525000mm
VIN4,47.850000mm,41.525000mm,0.0,Top,47.850000mm,41.525000mm
VOUT1,90.500000mm,40.300000mm,0.0,Top,90.500000mm,40.300000mm
VOUT2,102.900000mm,40.325000mm,0.0,Top,102.900000mm,40.325000mm
VOUT3,105.750000mm,40.325000mm,0.0,Top,105.750000mm,40.325000mm
