Ref,Val,Package,PosX,PosY,Rot,Side
"C1","Cap","C0603",74.075000,99.650000,180.000000,top
"D1","D_TVS_Array_4","SOT23-6",75.825000,45.625000,90.000000,top
"F1","Fuse-Pad-Pad","PAD-1206-PAD",124.075000,29.225000,90.000000,top
"F2","Fuse-Pad-Pad","PAD-1206-PAD",126.975000,29.225000,90.000000,top
"J1","USB_B_Mini","USB-MINI-B-VERTICAL",81.450000,102.300000,0.000000,top
"M1","Module-can-0.1","can",39.537502,97.256663,0.000000,top
"M2","Module-power5-0.1","power5",87.475000,91.650000,0.000000,top
"M3","Module-mcu-0.1","mcu",39.212499,58.971377,0.000000,top
"M4","Module-input-0.1","input",39.312499,43.646377,0.000000,top
"M5","Module-knock-0.1","knock",18.589073,55.613535,0.000000,top
"M6","Module-output-0.1","output",95.075001,44.012500,0.000000,top
"M7","Module-ign8-0.1","ign8",26.742387,83.539204,0.000000,top
"M8","Module-power12-0.1","power12",75.058985,42.712109,0.000000,top
"P1","368255-2","368255-2",14.498000,77.482000,0.000000,top
"R1","Res_Array_4","R0603-4",78.875000,45.700000,0.000000,top
"R2","Jumper-Pad-Pad","PAD-0805-PAD",46.325000,28.070000,90.000000,top
"R3","Jumper-Pad-Pad","PAD-0805-PAD",41.800000,28.005000,90.000000,top
"R4","Jumper-Pad-Pad","PAD-0805-PAD",54.600000,28.200000,90.000000,top
"R5","Res_Array_4","R0603-4",72.600000,45.650000,0.000000,top
"R6","Res","R0603",57.500000,40.450000,-90.000000,top
"R7","Res","R0603",56.100000,40.450000,-90.000000,top
"R8","Jumper-Pad-Pad","PAD-0805-PAD",48.350000,28.050000,90.000000,top
"R9","Jumper-Pad-Pad","PAD-0805-PAD",51.600000,28.050000,90.000000,top
"S1","Button_SPST","SMD-2_2.9x3.9x1.7",64.875000,103.900000,-90.000000,top
"S2","Button_SPST","SMD-2_2.9x3.9x1.7",71.625000,103.900000,90.000000,top
"V9","Pad","PAD-TH",74.400000,32.375000,0.000000,top
"V10","Pad","PAD-TH",71.750000,32.375000,0.000000,top
"V11","Pad","PAD-TH",69.100000,32.375000,0.000000,top
"V12","Pad","PAD-TH",69.375000,28.025000,0.000000,top
"V13","Pad","PAD-TH",66.575000,28.025000,0.000000,top
"V14","Pad","PAD-TH",63.850000,28.025000,0.000000,top
"V17","Pad","PAD-TH",57.175000,28.300000,0.000000,top
"V20","Pad","PAD-TH",51.350000,32.650000,0.000000,top
"V28","Pad","PAD-TH",77.050000,32.375000,0.000000,top
"V40","Pad","PAD-TH",48.650000,32.650000,0.000000,top
"V41","Pad","PAD-TH",43.200000,32.650000,0.000000,top
"V43","Pad","PAD-TH",38.150000,32.650000,0.000000,top
"V44","Pad","PAD-TH",79.700000,32.375000,0.000000,top
"V45","Pad","PAD-TH",81.650000,27.975000,0.000000,top
"V46","Pad","PAD-TH",78.950000,27.975000,0.000000,top
"V48","Pad","PAD-TH",75.375000,28.000000,0.000000,top
"V49","Pad","PAD-TH",72.625000,27.975000,0.000000,top
"V51","Pad","PAD-TH",66.350000,32.375000,0.000000,top
"V52","Pad","PAD-TH",63.700000,32.375000,0.000000,top
"V56","Pad","PAD-TH",56.000000,32.600000,0.000000,top
"V61","Pad","PAD-TH",40.675000,32.650000,0.000000,top
"V63","Pad","PAD-TH",86.850000,27.975000,0.000000,top
"V64","Pad","PAD-TH",84.300000,27.975000,0.000000,top
"V66","Pad","PAD-TH",82.375000,32.375000,0.000000,top
"V67","Pad","PAD-TH",89.575000,27.975000,0.000000,top
"V68","Pad","PAD-TH",85.050000,32.350000,0.000000,top
"V69","Pad","PAD-TH",92.325000,27.975000,0.000000,top
"V70","Pad","PAD-TH",87.700000,32.350000,0.000000,top
"V71","Pad","PAD-TH",95.075000,27.975000,0.000000,top
"V74","Pad","PAD-TH",45.925000,32.650000,0.000000,top
"V80","Pad","PAD-TH",35.625000,32.650000,0.000000,top
"VIN1","Pad","PAD-TH",44.450000,41.550000,0.000000,top
"VIN2","Pad","PAD-TH",53.500000,41.525000,0.000000,top
"VIN3","Pad","PAD-TH",50.675000,41.525000,0.000000,top
"VIN4","Pad","PAD-TH",47.850000,41.525000,0.000000,top
"VOUT1","Pad","PAD-TH",90.500000,40.300000,0.000000,top
"VOUT2","Pad","PAD-TH",102.900000,40.325000,0.000000,top
"VOUT3","Pad","PAD-TH",105.750000,40.325000,0.000000,top
