"Comment","Designator","Footprint","LCSC Part #"
"BATTERY_CR2032","BT1","Battery:BatteryHolder_Keystone_1060_1x2032","C70377"
"100n","C1","hellen-one-common:C0603","C14663"
"100n","C2","hellen-one-common:C0603","C14663"
"220n","C3","hellen-one-common:C0603","C21120"
"10n","C4","hellen-one-common:C0603","C100042"
"5.6n","C5","hellen-one-common:C0603","C170143"
"100n","C6","hellen-one-common:C0603","C14663"
"10u","C7","Capacitor_SMD:C_0805_2012Metric","C15850"
"10u","C8","Capacitor_SMD:C_0805_2012Metric","C15850"
"10u","C9","Capacitor_SMD:C_0805_2012Metric","C15850"
"10u","C10","Capacitor_SMD:C_0805_2012Metric","C15850"
"10u","C11","Capacitor_SMD:C_0805_2012Metric","C15850"
"10u","C12","Capacitor_SMD:C_0805_2012Metric","C15850"
"10u","C13","Capacitor_SMD:C_0805_2012Metric","C15850"
"10u","C14","Capacitor_SMD:C_0805_2012Metric","C15850"
"100n","C15","hellen-one-common:C0603","C14663"
"100n","C16","hellen-one-common:C0603","C14663"
"10u","C17","hellen-one-common:C0603","C19702"
"1N4148WS","D1","hellen-one-common:SOD-323","C2128"
"1N4148WS","D2","hellen-one-common:SOD-323","C2128"
"1N4148WS","D3","hellen-one-common:SOD-323","C2128"
"LED-GREEN-0805","D4","hellen-one-common:LED-0805","C2297"
"1N4148WS","D5","hellen-one-common:SOD-323","C2128"
"LED-GREEN-0805","D6","hellen-one-common:LED-0805","C2297"
"LED-GREEN-0805","D7","hellen-one-common:LED-0805","C2297"
"LED-GREEN-0805","D8","hellen-one-common:LED-0805","C2297"
"1N4148WS","D9","hellen-one-common:SOD-323","C2128"
"Fuse-Pad-Pad","F1","hellen-one-common:PAD-1206-PAD","C182446"
"Fuse-Pad-Pad","F2","hellen-one-common:PAD-1206-PAD","C182446"
"PROTO_AREA","G1","hellen-one-common:PROTO_AREA",""
"PROTO_AREA","G2","hellen-one-common:PROTO_AREA",""
"PROTO_AREA","G3","hellen-one-common:PROTO_AREA",""
"PROTO_AREA","G5","hellen-one-common:PROTO_AREA",""
"LOGO","G6","hellen-one-common:LOGO",""
"USB_B_Mini","J1","hellen-one-common:USB-MINI-B-VERTICAL","C13453"
"Conn_01x01","J2","TestPoint:TestPoint_Pad_D2.0mm",""
"Conn_01x01","J3","TestPoint:TestPoint_Pad_D2.0mm",""
"Conn_01x01","J4","TestPoint:TestPoint_Pad_D2.0mm",""
