Comment,Designator,Footprint,LCSC Part #
"BATTERY_CR2032","BT1","BATTERY-2032","C70377"
"100n","C1, C2, C6, C15, C16, C430, C431, C420, C101, C105, C106, C107, C108, C109, C110, C111, C112, C113, C117, C118, C119, C120, C121, C122, C123, C124, C125, C126, C127, C128, C129, C130, C135, C139, C204, C205, C206, C207, C212, C213, C214, C215, C220, C221, C222, C223, C224, C225, C226, C470, C460, C461, C411, C430_2, C431_2, C702","C0603","C14663"
"220n","C3","C0603","C21120"
"10n","C4","C0603","C100042"
"5.6n","C5","C0603","C170143"
"10u","C7, C8, C9, C10, C11, C12, C13, C14, C425, C426, C300, C304, C305, C306, C307, C308, C309, C310, C311, C312, C313","C0805","C15850"
"10u","C17, C701","C0603","C19702"
"1N4148WS","D1, D2, D3, D5, D9, D410, D412, D413, D414","SOD-323","C2128"
"LED-GREEN-0805","D4, D6, D7, D8","LED-0805","C2297"
"Fuse-Pad-Pad","F1, F2","PAD-1206-PAD","C182446"
"PROTO_AREA","G1","PROTO_AREA",""
"PROTO_AREA","G2","PROTO_AREA",""
"PROTO_AREA","G3","PROTO_AREA",""
"PROTO_AREA","G5","PROTO_AREA",""
"LOGO","G6","LOGO",""
"USB_B_Mini","J1","USB-MINI-B-VERTICAL","C13453"
"Conn_01x01","J2","TestPoint_Pad_D2.0mm",""
"Conn_01x01","J3","TestPoint_Pad_D2.0mm",""
"Conn_01x01","J4","TestPoint_Pad_D2.0mm",""
"Conn_01x01","J5","TestPoint_Pad_D2.0mm",""
"Conn_01x01","J6","TestPoint_Pad_D2.0mm",""
"Conn_01x04","J7","PinHeader_1x04_P2.54mm_Vertical",""
"Conn_01x06","J8","PinHeader_1x06_P2.54mm_Vertical",""
"Conn_01x04","J9","PinHeader_1x04_P2.54mm_Vertical",""
"AudioJack_THR","J10","Jack_3.5mm_PJ-3250-5A","C165947"
"368255-2","P1","368255-2",""
"100","R1, R104, R106","R0603","C22775"
"Jumper-Pad-Pad","R2, R3, R4, R8, R9, R10, R11, R12, R13","PAD-0805-PAD"," C17477"
"100k","R5, R471, R473","R0603","C25803"
"2.7k","R6, R7","R0603","C13167"
"DNP","R14","R1206",""
"DNP","R15","R1206",""
"5.1k","R16, R17","R0603","C23186"
