Designator,Mid X,Mid Y,Layer,Rotation
BT1,134.6mm,78.05mm,Top,90.0
C1,137.371999mm,52.379mm,Top,0.0
C2,136.071999mm,34.379mm,Top,0.0
C3,140.507mm,54.792163mm,Top,180.0
C4,142.207mm,33.302162mm,Top,270.0
C5,143.907mm,53.592163mm,Top,180.0
C6,77.2mm,100.8mm,Top,90.0
C7,137.212mm,60.379mm,Top,0.0
C8,137.212mm,58.279mm,Top,0.0
C9,137.212mm,56.179mm,Top,0.0
C10,137.212mm,54.079mm,Top,0.0
C11,135.812mm,32.579mm,Top,0.0
C12,135.812mm,28.379mm,Top,0.0
C13,135.812mm,26.279mm,Top,0.0
C14,135.812mm,30.479mm,Top,0.0
C15,51.7mm,105.7mm,Top,270.0
C16,34.8mm,73.1mm,Top,180.0
C17,86.0mm,106.7mm,Top,180.0
D1,139.207mm,29.992163mm,Top,270.0
D2,139.507mm,32.492163mm,Top,0.0
D3,13.962mm,95.125mm,Top,180.0
D4,14.011979mm,97.125mm,Top,0.0
D5,13.962mm,93.125mm,Top,180.0
D6,14.011979mm,85.125mm,Top,0.0
D7,14.011979mm,79.125mm,Top,0.0
D8,14.011979mm,91.125mm,Top,0.0
D9,133.4mm,95.1mm,Top,0.0
F1,124.075mm,29.225mm,Top,90.0
F2,126.975mm,29.225mm,Top,90.0
G1,149.86mm,59.64mm,Top,90.0
G2,149.86mm,86.36mm,Top,90.0
G3,144.9mm,104.6mm,Top,270.0
G5,149.86mm,73.05mm,Top,90.0
G6,147.8mm,24.8mm,Top,0.0
J1,83.05mm,103.175mm,Top,0.0
J7,74.8mm,99.5mm,Top,270.0
J8,13.2mm,53.55mm,Top,180.0
J9,63.12mm,99.5mm,Top,270.0
J10,98.7mm,104.2mm,Top,270.0
P1,14.498mm,77.482mm,Top,0.0
R1,141.407mm,31.092163mm,Top,0.0
R2,46.325mm,28.07mm,Top,90.0
R3,41.8mm,28.005mm,Top,90.0
R4,54.6mm,28.2mm,Top,90.0
R5,143.107mm,55.792163mm,Top,270.0
R6,57.5mm,40.45mm,Top,270.0
R7,56.1mm,40.45mm,Top,270.0
R8,48.35mm,28.05mm,Top,90.0
R9,51.6mm,28.05mm,Top,90.0
R10,13.3mm,29.975mm,Top,270.0
R11,11.0mm,29.975mm,Top,270.0
R12,15.6mm,29.975021mm,Top,270.0
R13,8.7mm,29.925mm,Top,270.0
R14,75.65001mm,41.725mm,Top,180.0
