Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
G4,66.05mm,110.100000mm,Bottom,180.0,66.05mm,110.100000mm
BT1,134.600000mm,78.050000mm,Top,90.0,134.600000mm,78.050000mm
C1,137.309999mm,54.079000mm,Top,0.0,137.309999mm,54.079000mm
C2,136.071999mm,33.175000mm,Top,0.0,136.071999mm,33.175000mm
C3,140.507000mm,54.792163mm,Top,180.0,140.507000mm,54.792163mm
C4,142.207000mm,32.098162mm,Top,-90.0,142.207000mm,32.098162mm
C5,143.907000mm,53.592163mm,Top,180.0,143.907000mm,53.592163mm
C6,77.200000mm,100.800000mm,Top,90.0,77.200000mm,100.800000mm
C7,137.212000mm,60.387800mm,Top,0.0,137.212000mm,60.387800mm
C8,137.212000mm,58.279000mm,Top,0.0,137.212000mm,58.279000mm
C9,137.212000mm,56.179000mm,Top,0.0,137.212000mm,56.179000mm
C10,140.700000mm,60.375000mm,Top,180.0,140.700000mm,60.375000mm
C11,135.812000mm,31.375000mm,Top,0.0,135.812000mm,31.375000mm
C12,135.812000mm,27.175000mm,Top,0.0,135.812000mm,27.175000mm
C13,135.812000mm,25.075000mm,Top,0.0,135.812000mm,25.075000mm
C14,135.812000mm,29.275000mm,Top,0.0,135.812000mm,29.275000mm
C15,51.700000mm,105.700000mm,Top,-90.0,51.700000mm,105.700000mm
C16,34.800000mm,73.100000mm,Top,180.0,34.800000mm,73.100000mm
C17,86.000000mm,106.700000mm,Top,180.0,86.000000mm,106.700000mm
D1,139.207000mm,28.788163mm,Top,-90.0,139.207000mm,28.788163mm
D2,139.507000mm,31.288163mm,Top,0.0,139.507000mm,31.288163mm
D3,13.962000mm,95.125000mm,Top,180.0,13.962000mm,95.125000mm
D4,14.011979mm,97.125000mm,Top,0.0,14.011979mm,97.125000mm
D5,13.962000mm,93.125000mm,Top,180.0,13.962000mm,93.125000mm
D6,14.011979mm,85.125000mm,Top,0.0,14.011979mm,85.125000mm
D7,14.011979mm,79.125000mm,Top,0.0,14.011979mm,79.125000mm
D8,14.011979mm,91.125000mm,Top,0.0,14.011979mm,91.125000mm
D9,133.400000mm,95.100000mm,Top,0.0,133.400000mm,95.100000mm
D10,122.016200mm,40.601200mm,Top,90.0,122.016200mm,40.601200mm
D11,116.631400mm,42.709400mm,Top,0.0,116.631400mm,42.709400mm
D12,111.653000mm,42.709400mm,Top,180.0,111.653000mm,42.709400mm
D13,95.200000mm,41.475000mm,Top,-90.0,95.200000mm,41.475000mm
D14,102.700000mm,41.175000mm,Top,180.0,102.700000mm,41.175000mm
F1,124.075000mm,29.225000mm,Top,90.0,124.075000mm,29.225000mm
F2,126.975000mm,29.225000mm,Top,90.0,126.975000mm,29.225000mm
