Ref,Val,Package,PosX,PosY,Rot,Side
"G4","DISCLAIMER","Off_Road_Disclaimer",-66.050000,110.100000,180.000000,bottom
"BT1","BATTERY_CR2032","BatteryHolder_Keystone_1060_1x2032",134.600000,78.050000,-90.000000,top
"C1","100n","C0603",137.309999,54.079000,0.000000,top
"C2","100n","C0603",136.071999,33.175000,0.000000,top
"C3","220n","C0603",140.507000,54.792163,180.000000,top
"C4","10n","C0603",142.207000,32.098162,-90.000000,top
"C5","5.6n","C0603",143.907000,53.592163,180.000000,top
"C6","100n","C0603",77.200000,100.800000,90.000000,top
"C7","10u","C_0805_2012Metric",137.212000,60.387800,0.000000,top
"C8","10u","C_0805_2012Metric",137.212000,58.279000,0.000000,top
"C9","10u","C_0805_2012Metric",137.212000,56.179000,0.000000,top
"C10","10u","C_0805_2012Metric",140.700000,60.375000,180.000000,top
"C11","10u","C_0805_2012Metric",135.812000,31.375000,0.000000,top
"C12","10u","C_0805_2012Metric",135.812000,27.175000,0.000000,top
"C13","10u","C_0805_2012Metric",135.812000,25.075000,0.000000,top
"C14","10u","C_0805_2012Metric",135.812000,29.275000,0.000000,top
"C15","100n","C0603",51.700000,105.700000,-90.000000,top
"C16","100n","C0603",34.800000,73.100000,180.000000,top
"C17","10u","C0603",86.000000,106.700000,180.000000,top
"D1","1N4148WS","SOD-323",139.207000,28.788163,-90.000000,top
"D2","1N4148WS","SOD-323",139.507000,31.288163,0.000000,top
"D3","1N4148WS","SOD-323",13.962000,95.125000,180.000000,top
"D4","LED-GREEN-0805","LED-0805",14.011979,97.125000,0.000000,top
"D5","1N4148WS","SOD-323",13.962000,93.125000,180.000000,top
"D6","LED-GREEN-0805","LED-0805",14.011979,85.125000,0.000000,top
"D7","LED-GREEN-0805","LED-0805",14.011979,79.125000,0.000000,top
"D8","LED-GREEN-0805","LED-0805",14.011979,91.125000,0.000000,top
"D9","1N4148WS","SOD-323",133.400000,95.100000,0.000000,top
"D10","B5819W","D_SOD-123",122.016200,40.601200,90.000000,top
"D11","B5819W","D_SOD-123",116.631400,42.709400,0.000000,top
"D12","B5819W","D_SOD-123",111.653000,42.709400,180.000000,top
"D13","B5819W","D_SOD-123",95.200000,41.475000,-90.000000,top
"D14","B5819W","D_SOD-123",102.700000,41.175000,180.000000,top
"F1","Fuse-Pad-Pad","PAD-1206-PAD",124.075000,29.225000,90.000000,top
"F2","Fuse-Pad-Pad","PAD-1206-PAD",126.975000,29.225000,90.000000,top
